Date,Gold_Close,USD_Close,avg_sentiment,news_count
2019-12-09,37638.0,97.64,-0.129529032,62.0
2019-12-10,37604.0,97.41,0.008927632,76.0
2019-12-11,37693.0,97.08,-0.004878205,78.0
2019-12-12,37559.0,97.4,0.025647826,69.0
2019-12-13,37776.0,97.17,-0.004254286,70.0
2019-12-16,37873.0,97.02,-0.006446774,62.0
2019-12-17,37961.0,97.22,0.013122951,61.0
2019-12-18,37932.0,97.4,-0.002916176,68.0
2019-12-19,38110.0,97.38,0.053017568,74.0
2019-12-20,38002.0,97.69,0.033192063,63.0
2019-12-23,38231.0,97.66,0.027205455,55.0
2019-12-24,38624.0,97.65,-0.012627778,18.0
2019-12-26,38767.0,97.53,0.029435135,37.0
