Date,Gold_Close,USD_Close,avg_sentiment,news_count,Gold_7day_MA,Gold_30day_MA,USD_7day_MA
2018-08-08,29544.0,95.05,-0.072505634,71.0,29580.14285714286,30021.966666666667,95.00571428571428
2018-08-09,29605.0,95.5,0.008292727,55.0,29575.428571428572,29994.433333333334,95.14999999999999
2018-08-10,29706.0,96.36,-0.180979167,48.0,29610.285714285714,29972.533333333333,95.39857142857143
2018-08-13,29665.0,96.39,-0.094242105,57.0,29631.0,29956.266666666666,95.57428571428571
2018-08-14,29664.0,96.73,-0.050192308,52.0,29611.571428571428,29929.433333333334,95.80142857142857
2018-08-16,29275.0,96.64,-0.012286538,52.0,29570.428571428572,29888.266666666666,95.98428571428572
2018-08-17,29275.0,96.1,-0.034365789,38.0,29533.428571428572,29846.066666666666,96.11
2018-08-20,29435.0,95.9,-0.065433333,72.0,29517.85714285714,29807.833333333332,96.23142857142857
2018-08-21,29542.0,95.26,0.042007692,26.0,29508.85714285714,29771.3,96.19714285714285
2018-08-22,29627.0,95.15,0.054675,52.0,29497.571428571428,29740.5,96.02428571428571
2018-08-23,29576.0,95.67,-0.079275,64.0,29484.85714285714,29714.9,95.92142857142858
2018-08-24,29882.0,95.15,-0.109625,56.0,29516.0,29705.133333333335,95.69571428571429
2018-08-27,29973.0,94.78,-0.036912903,62.0,29615.714285714286,29699.866666666665,95.42999999999999
2018-08-28,29981.0,94.72,0.006021569,51.0,29716.571428571428,29695.8,95.23285714285714
2018-08-29,30144.0,94.6,-0.026146154,52.0,29817.85714285714,29708.7,95.04714285714286
2018-08-30,30131.0,94.72,-0.055223214,56.0,29902.0,29719.766666666666,94.97
2018-08-31,30116.0,95.14,-0.01949403,67.0,29971.85714285714,29726.533333333333,94.96857142857144
2018-09-03,30327.0,95.14,-0.014012121,33.0,30079.14285714286,29738.866666666665,94.89285714285714
2018-09-04,30221.0,95.44,-0.02662,60.0,30127.571428571428,29749.1,94.9342857142857
2018-09-05,30310.0,95.18,-0.029594505,91.0,30175.714285714286,29762.366666666665,94.99142857142859
2018-09-06,30565.0,95.02,-0.036450877,57.0,30259.14285714286,29782.566666666666,95.03428571428572
2018-09-07,30509.0,95.36,-0.012941667,60.0,30311.285714285714,29805.0,95.14285714285714
2018-09-10,30725.0,95.15,-0.009684906,53.0,30396.14285714286,29835.666666666668,95.2042857142857
2018-09-11,30732.0,95.25,-0.00124127,63.0,30484.14285714286,29868.233333333334,95.22
2018-09-12,30664.0,94.8,-0.033917391,69.0,30532.285714285714,29902.433333333334,95.17142857142856
2018-09-13,30470.0,94.52,-0.040912766,94.0,30567.85714285714,29936.033333333333,95.03999999999999
2018-09-14,30453.0,94.93,0.049312857,70.0,30588.285714285714,29967.133333333335,95.00428571428571
2018-09-17,30778.0,94.5,-0.039075,60.0,30618.714285714286,29999.733333333334,94.92999999999999
2018-09-18,30811.0,94.64,-0.094552381,63.0,30661.85714285714,30041.333333333332,94.82714285714285
2018-09-19,30649.0,94.54,-0.050759649,57.0,30651.0,30078.5,94.74000000000001
2018-09-20,30623.0,93.91,-0.104475,84.0,30635.428571428572,30114.466666666667,94.54857142857144
2018-09-21,30609.0,94.22,-0.072430435,46.0,30627.571428571428,30147.933333333334,94.46571428571428
2018-09-24,30862.0,94.19,-0.016228,50.0,30683.571428571428,30186.466666666667,94.41857142857144
2018-09-25,30838.0,94.13,-0.006818966,58.0,30738.571428571428,30225.566666666666,94.30428571428571
2018-09-26,30608.0,94.19,-0.037107246,69.0,30714.285714285714,30257.033333333333,94.25999999999999
2018-09-27,30356.0,94.89,-0.021798077,52.0,30649.285714285714,30293.066666666666,94.2957142857143
2018-09-28,30479.0,95.13,-0.038754286,70.0,30625.0,30333.2,94.38
2018-10-01,30614.0,95.3,0.029847917,96.0,30623.714285714286,30372.5,94.57857142857142
2018-10-03,31025.0,95.76,-0.06272,55.0,30683.14285714286,30421.933333333334,94.79857142857142
2018-10-04,31136.0,95.75,-0.002087671,73.0,30722.285714285714,30472.233333333334,95.02142857142857
2018-10-05,31233.0,95.62,-0.071231034,58.0,30778.714285714286,30527.466666666667,95.23428571428572
2018-10-08,31096.0,95.76,0.048014,50.0,30848.428571428572,30567.933333333334,95.45857142857143
2018-10-09,31161.0,95.67,0.032165517,58.0,30963.428571428572,30607.533333333333,95.57000000000001
2018-10-10,31247.0,95.51,0.039303279,61.0,31073.14285714286,30649.733333333334,95.62428571428572
2018-10-11,31793.0,95.02,0.063342857,70.0,31241.571428571428,30704.7,95.58428571428571
2018-10-12,31670.0,95.22,-0.050751163,86.0,31333.714285714286,30756.0,95.50714285714287
2018-10-15,31877.0,95.06,0.024394828,58.0,31439.571428571428,30814.7,95.40857142857143
2018-10-16,31701.0,95.05,0.039669118,68.0,31506.428571428572,30860.5,95.32714285714285
2018-10-17,31702.0,95.58,-0.006578378,74.0,31593.0,30909.866666666665,95.30142857142857
2018-10-18,31885.0,95.9,-0.026088,75.0,31696.428571428572,30962.366666666665,95.3342857142857
2018-10-19,31737.0,95.71,-0.063931746,63.0,31766.428571428572,31001.433333333334,95.36285714285714
2018-10-22,31729.0,96.01,-0.036137037,54.0,31757.285714285714,31042.1,95.50428571428571
2018-10-23,31871.0,95.96,0.026454545,66.0,31786.0,31080.3,95.61
2018-10-24,31723.0,96.43,-0.011670667,75.0,31764.0,31113.333333333332,95.80571428571429
2018-10-25,31683.0,96.68,0.076783495,103.0,31761.428571428572,31147.3,96.03857142857143
2018-10-26,31764.0,96.36,-0.005159649,57.0,31770.285714285714,31190.433333333334,96.15
2018-10-29,31730.0,96.58,-0.005778788,66.0,31748.14285714286,31233.0,96.24714285714286
2018-10-30,31725.0,97.01,0.048222581,62.0,31746.428571428572,31264.566666666666,96.43285714285715
2018-10-31,31631.0,97.13,0.013302,50.0,31732.428571428572,31291.9,96.59285714285714
2018-11-01,31783.0,96.28,-0.019256716,67.0,31719.85714285714,31329.7,96.63857142857144
2018-11-02,31737.0,96.54,-0.012201695,59.0,31721.85714285714,31366.833333333332,96.65428571428572
2018-11-05,31783.0,96.28,0.009213889,108.0,31736.14285714286,31405.966666666667,96.59714285714286
