Date,Gold_Price,Open_x,High_x,Low_x,Volume,Chg%,USD_Price,Open_y,High_y,Low_y,Change %,avg_sentiment,news_count
2019-04-16,31474,31700,31768,31453,14480,-0.9,97.04,96.93,97.09,96.88,0.10%,0.073415385,52
2019-04-15,31760,31710,31791,31570,8540,0.0,96.94,96.92,96.96,96.79,-0.03%,0.023386667,75
2019-04-12,31760,31721,31871,31705,11010,0.31,96.97,97.14,97.18,96.75,-0.22%,0.012604878,82
2019-04-11,31663,32148,32148,31638,17110,-1.59,97.18,96.89,97.19,96.88,0.24%,-0.0278125,80
2019-04-10,32174,32070,32197,31968,11740,0.24,96.95,96.99,97.22,96.85,-0.06%,-0.066840984,61
2019-04-09,32098,32131,32171,32020,11010,0.07,97.01,97.08,97.08,96.86,-0.04%,-0.035953333,75
2019-04-08,32076,31795,32155,31795,12900,1.62,97.05,97.39,97.4,96.98,-0.35%,-0.006617391,69
2019-04-05,31566,31535,31620,31400,60,0.2,97.39,97.3,97.47,97.19,0.08%,-0.043785075,67
2019-04-04,31503,31499,31549,31350,70,0.17,97.31,97.04,97.34,97.02,0.23%,-0.04778375,80
2019-04-03,31450,31499,31607,31318,170,-0.27,97.09,97.3,97.32,96.96,-0.28%,-0.007464286,84
2019-04-02,31535,31550,31590,31359,390,-0.11,97.36,97.33,97.52,97.27,0.13%,0.014781579,76
2019-04-01,31570,31588,31730,31542,4520,-0.42,97.23,97.18,97.39,97.03,-0.05%,-0.012977419,62
2019-03-29,31703,31600,31788,31510,11360,0.25,97.28,97.2,97.34,97.0,0.08%,0.031769565,69
2019-03-28,31624,31993,32030,31591,15060,-1.23,97.2,96.97,97.3,96.82,0.44%,-0.069593243,74
2019-03-27,32019,32101,32182,32000,17720,-0.29,96.77,96.75,96.98,96.68,0.03%,-0.055865714,70
2019-03-26,32113,32200,32200,32031,13040,-0.34,96.74,96.5,96.84,96.45,0.18%,-0.0328,81
2019-03-25,32223,32199,32245,32083,14020,0.21,96.57,96.64,96.68,96.41,-0.08%,-0.003322857,70
2019-03-22,32155,31869,32184,31748,19210,0.98,96.65,96.32,96.81,96.21,0.16%,0.001212,75
2019-03-21,31842,31899,32064,31806,9410,0.32,96.5,95.91,96.62,95.84,0.77%,0.009253521,71
2019-03-20,31740,31961,31961,31704,14380,-0.77,95.76,96.4,96.57,95.74,-0.64%,-0.071296296,81
2019-03-19,31985,31750,32017,31691,14670,0.95,96.38,96.51,96.52,96.29,-0.15%,-0.108858462,65
2019-03-18,31685,31800,31815,31590,12270,-0.53,96.52,96.56,96.63,96.38,-0.07%,-0.098238028,71
2019-03-15,31853,31895,31960,31768,13200,0.07,96.59,96.72,96.79,96.49,-0.20%,-0.06327069,58
2019-03-14,31832,32274,32274,31813,17210,-1.22,96.78,96.49,96.82,96.47,0.24%,-0.037807477,107
2019-03-13,32225,32088,32330,32088,13820,0.66,96.55,97.01,97.02,96.39,-0.40%,-0.088197321,112
2019-03-12,32015,31906,32056,31885,12060,0.31,96.94,97.05,97.28,96.86,-0.29%,-0.043196078,102
2019-03-11,31915,32214,32214,31897,12410,-0.8,97.22,97.39,97.45,96.92,-0.09%,-0.024934,100
2019-03-08,32174,31980,32235,31955,16620,0.71,97.31,97.61,97.64,97.25,-0.37%,-0.052419231,52
2019-03-07,31946,31959,31980,31800,14750,-0.03,97.67,96.83,97.71,96.81,0.83%,0.014275806,62
2019-03-06,31954,32136,32300,31885,16710,-0.19,96.87,96.9,96.99,96.78,0.00%,-0.085113483,89
2019-03-05,32015,33435,33440,32000,240,-1.51,96.87,96.67,97.01,96.66,0.20%,-0.060821795,78
2019-03-04,32505,32394,32601,32315,150,-0.09,96.68,96.34,96.82,96.33,0.16%,-0.071749057,53
2019-03-01,32533,32857,32953,31915,1560,-1.12,96.53,96.22,96.55,96.07,0.38%,0.016450685,73
2019-02-28,32902,33189,33260,32877,8130,-0.81,96.16,96.09,96.28,95.82,0.01%,-0.020411538,78
2019-02-27,33171,33300,33466,33138,9400,-0.17,96.15,96.06,96.19,95.88,0.16%,0.059101299,77
2019-02-26,33228,33225,33450,33205,9010,0.21,96.0,96.39,96.46,95.95,-0.43%,-0.052351163,86
2019-02-25,33159,33385,33398,33130,8440,-0.63,96.41,96.52,96.6,96.32,-0.10%,-0.067531944,72
2019-02-22,33369,33302,33413,33190,9550,0.2,96.51,96.59,96.78,96.42,-0.10%,-0.019229091,55
2019-02-21,33302,33630,33658,33265,14500,-1.24,96.61,96.49,96.66,96.36,0.17%,-0.045882716,81
2019-02-20,33719,33800,33877,33680,9090,-0.1,96.45,96.53,96.65,96.29,-0.07%,-0.049983099,71
2019-02-19,33753,33499,33797,33434,11910,0.87,96.52,96.81,97.08,96.43,-0.39%,-0.04649375,80
2019-02-18,33463,33333,33484,33333,8880,0.6,96.9,96.81,96.9,96.65,0.00%,-0.017294595,37
2019-02-15,33263,32992,33280,32992,11790,0.89,96.9,97.06,97.37,96.83,-0.08%,0.003405333,75
2019-02-14,32970,32862,33000,32765,11450,0.19,96.98,97.14,97.28,96.95,-0.15%,-0.010002326,86
